,sentence,aspect_term,polarity,from,to
4407,"The Scene Service bustles through the energetic, sprawling space with the precision of expert merengue dancers, and everyone else goes along with the flow suggested by the tall, curving ceilings.",Scene Service,neutral,4,17
4408,"The first time around, we had the $80 tasting menu, which included some sushi items, which I found to be pretty average, especially for the price.",price,neutral,140,145
4409,"My turkey burger was not cooked at all , my friends salmon was completely raw .",turkey burger,negative,3,17
4410,"The food was very good but the portions are pretty small, so while the prices are low, the place is not quite a bargain it seems to be.",portions,negative,31,39
4411,"They gave us desert menus but never came back for a desert order, instead we had to ask for the check and a bus boy retreived it for us.",desert menus,neutral,13,25
4412,it's one of the cheapest eats in the city and the food is not bad if you sit at the bar only - they have a decent chicken and/or beef tender tips but they cook with a lot of garlic so beware.,bar,neutral,84,87
4413,"We were a party of four, and after a long wait, were seated in a freezing corner.",corner,negative,74,80
4414,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",food,negative,42,46
4415,But when the bartender messes up the returned drinks something is wrong.,drinks,neutral,46,52
4416,"the kimchi and other sides were off, the rice had red bean mixed in, and the waitress gave us a double order of the bulgogi instead of two single orders of different meats.",waitress,negative,77,85
4417,And I say snacking because it really is not set up to be a proper dinner.,snacking,neutral,10,18
4418,"Get your food to go , find a bench , and kick back with a plate of dumplings .",plate of dumplings,positive,58,78
4419,"But overall loved the place, outside of our waiter who literally tried to force us into ordering drinks.",waiter,negative,44,50
4420,The food was outstanding and the service was tops.,food,positive,4,8
4421,"NO more reservations, expensive tips and annoying stuff.",reservations,positive,8,20
4422,"not only were we waiting for half an hour with reservations, once we got seated we waited another 15+ minutes for the waiter to come and take out drink menu.",waiter,negative,118,124
4423,The waiter comes over and says You changed the salad and made us throw it out!,salad,neutral,47,52
4424,"It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",roll,negative,37,41
4425,"My wife and I had an 8:30 reservation, we show up a few minutes before and the host mumbles something to us about waiting at the bar and they'll tell us when the table is ready.",host,negative,79,83
4426,"While you're standing around for a good half hour waiting for two plain burgers, you're being bumped into by people waiting to be seated because of the narrow passageway leading to the dining area.",burgers,neutral,72,79
4427,"Frankly, the chinese food here is something I can make better at home.",chinese food,negative,13,25
4428,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,beef,negative,16,20
4429,Chino's has become my new regular Lunch spot after trying their awesome pork sandwhich and calamari salad.,pork sandwhich,positive,72,86
4430,The waitresses are at your table filling your water or oil before your last sip or dip.,water,neutral,46,51
4431,Although we were looking for regular lettuce and some walnuts the salads we got were great.,lettuce,neutral,37,44
4432,"The last two times I ordered from here my food was soo spicy that I could barely eat it , and the spice took away from the flavor of the dish .",food,negative,42,46
4433,"However for one appetizer, three entree's, one shared dessert, and two bottles of white, the bill was a cool $100!",appetizer,neutral,16,25
4434,The last time I was there (last week) our food took a little too long and a manager promptly apologized and offered to comp our desserts (not expected but appreciated).,manager,positive,76,83
4435,The drinks were really good- albeit a bit weird served out of baby bottles.,drinks,positive,4,10
4436,"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).",waiter,negative,4,10
4437,"Told us to sit anywhere , and when we sat he said the table was reserved .",table,negative,54,59
4438,Both times we waited well over a half hour for a table (even though we had reservations).,table,negative,49,54
4439,"The bar has a large selection of beers on tap,bottles or cans.",selection,positive,20,29
4440,The food is average and the service is insulting.,service,negative,28,35
4441,Just go to Yamato and order the Red Dragon Roll .,Yamato,positive,11,17
4442,"A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",appetizer,positive,93,102
4443,"Unlike some of the other reviews here, the reservation was upheld, the waiter took the time to explain each dish and frequently asked if we wanted more of anything (which we did, several times).",reservation,positive,43,54
4444,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing.",fast food,negative,28,37
4445,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them .,menu,positive,4,8
4446,When we inquired about ports - the waitress listed off several but did not know taste variations or cost .,waitress,negative,35,43
4447,"Husband and Wife owners are always pleasent and accomidating, food is top notch quality made with care, and now, recently renovated to accomidate more tables and a young fresh feel.",owners,positive,17,23
4448,Once dinner ended the party really started going inside they were playing great music.,dinner,neutral,5,11
4449,"the 2 tables next us had undercooked beans, tough hanger steak, mediocre dessert and same vibe about the chicken.",beans,negative,37,42
4450,"When we received the bill, we asked the manager to do something about the drinks, considering how poor the service was and her reply was, Well, you got them!",manager,positive,40,47
4451,"Quite frankly, this is some of the worst sushi I have ever tried.",sushi,negative,41,46
4452,"When we first walked in, we saw other diners wiping their plates with bread- so we though that the food was good -but we very soon realized that the portions really were so small that you really have to lick your plate clean - afterall, their dinners costs a fortune.",portions,negative,149,157
4453,"We had the 6 course tasting menu - the salad and first course pasta was good; the gnocchi was watery with a tasteless sauce; then came out the entree, a burnt cod.",gnocchi,negative,82,89
4454,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,french indian fusion,positive,20,40
